"Hot Spots - Method","Self time [%]","Self time","Invocations"
"cvm.sb.expression.ContextProviderWrapper$_wrap_closure1.class$(String)","4.2039E-4","0.047 ms","2"
"cvm.sb.manager.BrokerManager$MainManagerContext.<init>(cvm.sb.manager.BrokerManager)","4.2039E-4","0.047 ms","8"
"cvm.sb.autonomic.SignalRegistry$SignalEntry.<init>(cvm.sb.manager.SignalInstance)","4.2039E-4","0.047 ms","8"
"cvm.sb.resource.bridge.CallExecutor.$get$$class$cvm$sb$resource$bridge$CallExecutor()","4.114455E-4","0.046 ms","15"
"cvm.sb.emf.HandlerFactory$_createActionInstance_closure3.$createCallSiteArray()","4.114455E-4","0.046 ms","2"
"cvm.sb.expression.StateTypeManagerContext.class$(String)","4.114455E-4","0.046 ms","3"
"cvm.sb.policy.PolicyManager.getSuperFeatures(cvm.sb.policy.metadata.Feature)","4.114455E-4","0.046 ms","8"
"cvm.sb.expression.CombinationEvaluator.$get$$class$cvm$sb$expression$CombinationEvaluator()","4.114455E-4","0.046 ms","35"
"cvm.sb.emf.HandlerFactory.<init>()","4.0250106E-4","0.045 ms","2"
"cvm.sb.manager.SignalInstance.<init>(String)","3.9355658E-4","0.044 ms","2"
"cvm.sb.policy.PolicyManager.reduceSet(java.util.TreeSet, cvm.sb.policy.PolicyManager.DesiredFeaturesList)","3.8461213E-4","0.043 ms","3"
"cvm.sb.expression.ConditionEvaluator.$get$$class$cvm$sb$expression$ConditionEvaluator()","3.7566765E-4","0.042 ms","10"
"cvm.sb.policy.PolicyManager.findConformingObject(cvm.sb.resource.ResourceManager, cvm.sb.policy.PolicyContext)","3.667232E-4","0.041 ms","3"
"cvm.sb.policy.metadata.Feature.hasAttributeValue(String, Object, int)","3.577787E-4","0.04 ms","8"
"cvm.sb.expression.ValueEvaluator.$get$$class$cvm$sb$expression$ValueEvaluator()","3.577787E-4","0.04 ms","106"
"cvm.sb.expression.ValueEvaluator.$get$$class$cvm$sb$expression$CombinedContextProvider()","3.577787E-4","0.04 ms","24"
"cvm.sb.expression.ContextBinder.$createCallSiteArray_1(String[])","3.577787E-4","0.04 ms","2"
"cvm.ncb.adapters.NCBBridgeBase.getUserMapper()","3.4883423E-4","0.039 ms","2"
"cvm.sb.state.StateManager.getType(String)","3.4883423E-4","0.039 ms","7"
"cvm.sb.expression.EvaluationResult.$createCallSiteArray()","3.3988978E-4","0.038 ms","2"
"cvm.sb.expression.ContextBinder.$get$$class$cvm$sb$expression$ContextBinder()","3.3988978E-4","0.038 ms","10"
"cvm.sb.manager.BrokerManager$MainManagerContext.getStateManager()","3.309453E-4","0.037 ms","14"
